name,year_int,duration,rating,votes,genre_split,genre_count,director_avg_rating,actor_popularity
404: Error Not Found,(2011),121 min,7.3,2548.0,"['Drama', ' Mystery', ' Thriller']",3,5.383333333333333,6.75
417 Miles,(2016),75 min,4.8,9.0,['Drama'],1,4.8,4.8
42 Kms.,(2009),,3.9,14.0,"['Drama', ' Sport']",2,3.9,
498A-The Wedding Gift,(2012),113 min,7.8,21.0,"['Drama', ' Family', ' Musical']",3,7.8,
5 Ghantey Mien 5 Crore,(2012),111 min,5.7,75.0,['Thriller'],1,5.5,
5 Rifles,(1974),134 min,6.5,36.0,"['Action', ' Comedy']",2,6.2272727272727275,
50 Lakh,(2007),,6.5,82.0,"['Comedy', ' Thriller']",2,6.55,
5ters: Castle of Dark Master,(2011),110 min,4.6,19.0,"['Action', ' Adventure', ' Fantasy']",3,4.6,
6.40 PM,(1967),,5.4,5.0,['Unknown'],1,6.94,
6-5=2,(2014),104 min,4.2,171.0,['Horror'],1,4.2,
68 Pages,(2007),92 min,6.2,31.0,['Drama'],1,6.55,
7 1/2 Phere: More Than a Wedding,(2005),136 min,5.3,281.0,"['Comedy', ' Drama']",2,4.05,
7 Bijliyaan,(1988),126 min,5.0,7.0,['Action'],1,5.0,
7 Days,(1995),,3.4,10.0,"['Action', ' Drama']",2,3.4,
7 Hours to Go,(2016),115 min,5.7,398.0,"['Crime', ' Thriller']",2,5.85,
7 Islands and a Metro,(2006),100 min,6.2,10.0,['Documentary'],1,6.2,
7 Khoon Maaf,(2011),137 min,6.1,5640.0,"['Drama', ' Mystery', ' Thriller']",3,7.1,
7 Saal Baad,(1987),127 min,4.1,34.0,"['Drama', ' Horror', ' Musical']",3,4.133333333333334,
706,(2019),120 min,5.3,449.0,['Thriller'],1,5.3,
72 Hours: Martyr Who Never Died,(2019),130 min,5.3,249.0,"['Action', ' Biography', ' Drama']",3,5.3,
8 x 10 Tasveer,(2009),122 min,5.4,5459.0,"['Action', ' Fantasy', ' Mystery']",3,6.991666666666667,
8119 Miles,(2021),115 min,6.6,21.0,"['Adventure', ' Drama', ' Mystery']",3,6.6,6.599999999999999
88 Antop Hill,(2003),119 min,4.7,66.0,"['Mystery', ' Thriller']",2,6.166666666666667,
9 O' Clock,(2017),124 min,5.3,9.0,['Action'],1,5.3,
99,(2009),135 min,7.3,2767.0,"['Comedy', ' Crime', ' Drama']",3,6.56,
99 Songs,(2019),128 min,7.4,1901.0,"['Musical', ' Romance']",2,7.4,7.400000000000001
99.9 FM,(2005),90 min,4.8,38.0,"['Crime', ' Drama']",2,4.8,
A Billion Colour Story,(2016),105 min,8.1,412.0,['Drama'],1,8.1,
A Daughter's Tale PANKH,(2017),145 min,6.3,10.0,['Drama'],1,6.3,6.3
A Death in the Gunj,(2016),110 min,7.5,4637.0,"['Drama', ' Thriller']",2,7.5,
A Far Afternoon: a Painted Saga by Krishen Khanna,(2015),72 min,7.7,10.0,"['Documentary', ' Biography']",2,7.7,
A Film by Aravind,(2005),150 min,6.8,179.0,"['Horror', ' Mystery']",2,6.8,
A Flat,(2010),103 min,4.5,202.0,"['Drama', ' Horror', ' Romance']",3,3.6,
A Flying Jatt,(2016),151 min,3.0,4145.0,"['Action', ' Adventure', ' Comedy']",3,4.133333333333334,
A Game Called Relationship,(2020),109 min,6.3,181.0,"['Comedy', ' Romance']",2,5.3999999999999995,
A Gentleman,(2017),145 min,6.2,5227.0,"['Action', ' Comedy']",2,6.56,
A Gift of Love: Sifar,(2019),95 min,8.0,33.0,"['Drama', ' Romance']",2,8.0,
A Journey of Samyak Buddha,(2013),127 min,7.3,17.0,['Drama'],1,7.3,7.3
A Mermaid Called Aida,(1996),52 min,6.4,7.0,['Documentary'],1,7.0,
A New Love Ishtory,(2013),140 min,6.0,80.0,['Romance'],1,6.333333333333333,
A Rifle and a Bag,(2020),89 min,6.8,15.0,['Documentary'],1,6.8,
A Scandall,(2016),112 min,3.1,142.0,['Thriller'],1,4.05,4.042424242424243
A Strange Love Story,(2011),,3.8,15.0,['Drama'],1,3.8,4.086666666666667
A Sublime Love Story: Barsaat,(2005),143 min,3.8,627.0,"['Drama', ' Romance']",2,4.122222222222223,
A Suitable Girl,(2017),90 min,6.9,337.0,['Documentary'],1,6.9,
A Thin Line,(2019),104 min,7.9,24.0,['Drama'],1,7.300000000000001,
A Treasure in the Snow,(2002),,6.9,8.0,['Documentary'],1,7.1375,
A Wednesday,(2008),104 min,8.1,75118.0,"['Action', ' Crime', ' Drama']",3,7.459999999999999,
Aa Ab Laut Chalen,(1999),177 min,5.5,1621.0,"['Musical', ' Romance', ' Drama']",3,5.5,
AA BB KK,(2018),121 min,8.0,249.0,['Drama'],1,8.0,
Aa Dekhen Zara,(2009),117 min,5.0,866.0,"['Action', ' Sci-Fi', ' Thriller']",3,5.0,
Aa Gale Lag Jaa,(1973),148 min,7.2,348.0,"['Action', ' Drama', ' Romance']",3,6.463636363636363,
Aa Gale Lag Jaa,(1994),158 min,4.4,115.0,"['Mystery', ' Romance']",2,3.9000000000000004,
Aa Gaya Hero,(2017),123 min,2.7,339.0,['Action'],1,2.7,
Aa Jao Please,(2016),120 min,6.8,16.0,['Drama'],1,6.8,7.0
Aaag Hi Aag,(1999),,4.9,28.0,['Action'],1,4.4655172413793105,
Aabra Ka Daabra,(2004),144 min,2.4,264.0,['Fantasy'],1,2.4,
Aabroo,(1968),170 min,5.5,21.0,"['Comedy', ' Crime', ' Drama']",3,6.15,
Aabroo,(1943),,5.2,5.0,['Unknown'],1,5.2,
Aabshar,(1953),,5.0,5.0,"['Drama', ' Romance']",2,5.0,
Aadab Arz,(1943),,5.2,5.0,['Unknown'],1,5.75,
Aadamkhor,(1986),,5.5,6.0,['Action'],1,4.25,
Aadamkhor,(2018),72 min,7.4,150.0,['Horror'],1,6.1000000000000005,6.533333333333334
Aadat Se Majboor,(1982),105 min,5.5,28.0,"['Action', ' Crime', ' Drama']",3,5.411111111111111,
Aadha Din Aadhee Raat,(1977),132 min,5.1,18.0,['Action'],1,5.1,
Aadhaar,(2019),107 min,7.6,69.0,['Drama'],1,7.6,
Aadharshila,(1982),154 min,6.4,19.0,['Drama'],1,6.4,
Aadhi Bhagavan,(2013),157 min,5.4,568.0,"['Action', ' Crime', ' Thriller']",3,5.4,
Aadhi Mimansa,(1991),,6.2,9.0,['Unknown'],1,6.0,
Aadhi Raat,(1950),115 min,6.7,9.0,"['Drama', ' Romance']",2,7.1,
Aadmi,(1968),175 min,6.8,196.0,"['Drama', ' Romance']",2,6.776470588235294,
Aadmi,(1993),153 min,6.5,97.0,"['Action', ' Crime', ' Drama']",3,4.566666666666666,
Aadmi Aur Apsara,(1991),142 min,6.7,66.0,['Fantasy'],1,5.800000000000001,
Aadmi Aur Insaan,(1969),168 min,6.2,149.0,"['Drama', ' Romance', ' Thriller']",3,6.972727272727273,
Aadmi Khilona Hai,(1993),158 min,5.0,142.0,"['Drama', ' Romance']",2,5.800000000000001,
Aadmi Ki Aurat Aur Anya Kahaniya,(2009),78 min,7.6,62.0,['Drama'],1,6.68,7.166666666666667
Aadmi Sadak Ka,(1977),138 min,5.4,34.0,"['Drama', ' Family']",2,6.55,
Aadupuliyattam,(2016),145 min,4.2,266.0,['Horror'],1,4.2,
Aafat,(1977),148 min,5.3,17.0,"['Crime', ' Drama']",2,5.833333333333333,
Aag,(1948),138 min,7.4,357.0,"['Musical', ' Romance']",2,7.145454545454545,
Aag,(1967),,6.2,29.0,"['Action', ' Drama']",2,6.038461538461538,
Aag,(1994),139 min,4.6,227.0,"['Action', ' Comedy', ' Drama']",3,4.866666666666666,
Aag Andhi Aur Toofan,(1994),,3.1,11.0,"['Action', ' Thriller']",2,4.997368421052632,
Aag Aur Chingari,(1994),133 min,4.1,13.0,['Action'],1,4.997368421052632,
Aag Aur Daag,(1970),,3.7,14.0,"['Action', ' Comedy', ' Drama']",3,5.314285714285715,
Aag Aur Shola,(1986),,4.1,42.0,"['Action', ' Drama', ' Romance']",3,5.27741935483871,
Aag Hi Aag,(1987),170 min,5.3,93.0,['Action'],1,5.175757575757576,
Aag Ka Dariya,(1990),,4.2,22.0,['Action'],1,5.6000000000000005,
Aag Ka Gola,(1990),180 min,4.8,101.0,"['Action', ' Drama']",2,5.193023255813954,
Aag Ka Toofaan,(1993),137 min,4.8,21.0,['Action'],1,4.997368421052632,
Aag Ke Sholay,(1988),138 min,3.4,7.0,"['Action', ' Thriller']",2,4.1,
Aag Laga Do Sawan Ko,(1991),,5.7,7.0,"['Drama', ' Romance']",2,5.800000000000001,
Aag Se Khelenge,(1989),151 min,5.0,52.0,['Action'],1,6.225,
Aagaah: The Warning,(2011),,3.6,23.0,"['Drama', ' Horror', ' Thriller']",3,4.071428571428571,
Aage Badho,(1947),,6.0,6.0,['Drama'],1,6.15,
Aage Ki Soch,(1988),,4.8,30.0,['Comedy'],1,5.725,
Aage Maut Peeche Maut,(2001),78 min,3.1,7.0,['Horror'],1,3.1,
Aagey Se Right,(2009),117 min,5.0,381.0,"['Comedy', ' Crime', ' Drama']",3,5.0,
Aaghaaz,(2000),153 min,4.2,274.0,"['Action', ' Crime', ' Drama']",3,4.2,
Aagman,(1982),,4.8,8.0,['Drama'],1,5.85,
Aah,(1953),150 min,7.2,275.0,"['Drama', ' Musical', ' Romance']",3,6.5375,
Aahat - Ek Ajeeb Kahani,(1971),,6.4,10.0,['Thriller'],1,6.4,
Aahuti,(1978),135 min,6.0,25.0,"['Action', ' Drama']",2,6.133333333333333,
Aaina,(1993),149 min,6.0,448.0,"['Drama', ' Romance']",2,4.925,
Aaina,(1977),150 min,6.8,94.0,['Drama'],1,7.1375,
Aaina,(1944),,3.2,5.0,"['Drama', ' Romance']",2,4.25,
Aaj,(1987),116 min,5.5,281.0,['Drama'],1,5.414893617021277,
Aaj Aur Kal,(1947),,4.1,8.0,"['Comedy', ' Sci-Fi']",2,6.371428571428572,
Aaj Aur Kal,(1963),144 min,5.6,52.0,"['Drama', ' Romance']",2,5.6000000000000005,
Aaj Ka Aladdin,(1935),,6.0,5.0,['Unknown'],1,6.0,
Aaj Ka Andha Kanoon,(2003),46 min,3.1,15.0,['Action'],1,3.1,
Aaj Ka Arjun,(1990),164 min,4.7,586.0,"['Action', ' Crime', ' Drama']",3,4.35,
Aaj Ka Daur,(1985),153 min,5.1,40.0,"['Action', ' Drama']",2,5.27741935483871,
Aaj Ka Gang Leader,(1993),,5.6,29.0,['Action'],1,6.036363636363637,
Aaj Ka Goonda Raaj,(1992),147 min,5.3,144.0,"['Action', ' Thriller']",2,5.720000000000001,
Aaj Ka Gunda,(2001),,4.7,23.0,"['Action', ' Thriller']",2,4.997368421052632,
Aaj Ka Gunda Raaj,(2006),,6.0,46.0,['Action'],1,6.0,
Aaj Ka Laawaris,(2006),,5.7,17.0,['Action'],1,5.0,5.8500000000000005
Aaj Ka Mahaatma,(1976),170 min,3.5,23.0,"['Action', ' Romance']",2,5.125,
Aaj Ka Nanha Farishta,(2000),,5.8,8.0,"['Action', ' Crime', ' Thriller']",3,5.8,
Aaj Ka Ravan,(2000),128 min,4.3,31.0,"['Action', ' Crime']",2,4.3,
Aaj Ka Samson,(1991),123 min,3.1,14.0,"['Action', ' Romance']",2,3.35,
Aaj Ka Ye Ghar,(1976),,4.5,10.0,['Drama'],1,4.5,
Aaj Kaa M.L.A. Ram Avtar,(1984),157 min,5.8,65.0,"['Action', ' Drama']",2,5.446666666666667,
Aaj Ke Angaarey,(1988),128 min,5.0,26.0,"['Action', ' Drama']",2,5.21875,
Aaj Ke Shahenshah,(1990),132 min,3.3,15.0,['Action'],1,5.175757575757576,
Aaj Ke Sholey,(1985),,5.3,37.0,['Adventure'],1,5.6000000000000005,
Aaj Ki Awaz,(1984),137 min,5.6,79.0,"['Action', ' Drama', ' Crime']",3,6.088888888888889,
Aaj Ki Taaza Khabar,(1973),,7.3,88.0,['Comedy'],1,6.8,
Aaj Kie Aurat,(1993),,3.8,14.0,"['Action', ' Drama']",2,4.42,
Aaja Meri Jaan,(1993),162 min,4.4,30.0,['Romance'],1,5.025,
Aaja Nachle,(2007),137 min,6.2,2998.0,"['Drama', ' Family', ' Music']",3,6.2,
Aaja Sanam,(1968),121 min,6.7,14.0,"['Drama', ' Romance']",2,6.6,
Aaja Sanam,(1994),,3.3,7.0,"['Drama', ' Romance']",2,3.3,
Aakhir Kaun Thi Woh?,(2000),,4.4,5.0,"['Action', ' Mystery', ' Thriller']",3,6.130769230769231,
Aakhir Kyon?,(1985),,6.6,158.0,['Drama'],1,5.800000000000001,
Aakhree Raasta,(1986),164 min,7.1,1283.0,"['Action', ' Crime', ' Drama']",3,6.0,
Aakhri Adaalat,(1988),148 min,5.2,78.0,"['Action', ' Thriller']",2,6.0,
Aakhri Baazi,(1989),149 min,4.1,53.0,"['Action', ' Drama', ' Family']",3,5.471428571428571,
Aakhri Badla,(1989),120 min,5.0,21.0,"['Action', ' Crime', ' Drama']",3,5.0,
Aakhri Cheekh,(1991),,4.8,47.0,['Horror'],1,4.8,
Aakhri Daao,(1975),,5.5,29.0,"['Action', ' Crime', ' Drama']",3,5.314285714285715,
Aakhri Daku,(1978),,5.6,21.0,['Action'],1,5.945454545454546,
Aakhri Dao,(1958),,6.4,16.0,['Comedy'],1,6.633333333333333,
Aakhri Ghulam,(1989),171 min,4.9,34.0,"['Action', ' Crime', ' Drama']",3,5.175757575757576,
Aakhri Goli,(1977),,4.8,18.0,['Action'],1,5.175757575757576,
Aakhri Insaaf,(1980),,4.9,10.0,"['Action', ' Mystery']",2,5.86,
Aakhri Inteqam,(2002),,2.5,16.0,['Action'],1,2.9,
Aakhri Kasam,(1979),126 min,6.3,7.0,"['Action', ' Thriller']",2,6.1000000000000005,
Aakhri Khat,(1966),153 min,6.9,122.0,['Drama'],1,7.0,
Aakhri Sangam,(1990),160 min,7.3,39.0,"['Action', ' Romance']",2,7.3,
Aakhri Sanghursh,(1997),138 min,2.8,17.0,['Action'],1,6.057142857142857,
Aakraman,(1975),139 min,6.3,44.0,"['Drama', ' History', ' Romance']",3,5.800000000000001,
Aakrosh,(1980),144 min,7.9,887.0,"['Crime', ' Drama', ' Music']",3,7.1461538461538465,
Aakrosh,(2010),115 min,7.0,3464.0,"['Action', ' Crime', ' Thriller']",3,6.190322580645161,
Aakrosh: Cyclone of Anger,(1998),,4.6,93.0,"['Action', ' Crime', ' Drama']",3,4.933333333333334,
Aalaap,(2012),116 min,5.4,26.0,['Sci-Fi'],1,5.4,
Aalavandhan,(2001),177 min,7.2,2192.0,"['Action', ' Thriller']",2,5.666666666666667,
Aalwar,(2007),152 min,3.0,922.0,['Action'],1,3.0,4.366666666666667
Aamaar Bhuvan,(2018),107 min,7.7,72.0,"['Drama', ' Family']",2,7.222222222222222,
Aamdani Atthanni Kharcha Rupaiya,(2001),150 min,4.8,1238.0,"['Comedy', ' Drama', ' Family']",3,5.574193548387097,
Aamir,(2008),99 min,7.7,10862.0,"['Action', ' Crime', ' Drama']",3,6.5200000000000005,
Aamne - Saamne,(1967),163 min,6.5,81.0,"['Crime', ' Mystery', ' Romance']",3,5.6454545454545455,
Aamne Samne,(1982),143 min,6.4,53.0,"['Action', ' Crime', ' Drama']",3,5.471428571428571,
Aamras: The Sweet Taste of Friendship,(2009),,5.8,60.0,['Drama'],1,5.8,
Aan Aur Shaan,(1984),130 min,6.4,37.0,['Drama'],1,6.488888888888889,
Aan Baan,(1972),,6.1,28.0,['Drama'],1,5.945454545454546,
Aan Baan,(1956),,2.8,5.0,['Romance'],1,6.566666666666666,
Aan Milo Sajna,(1970),177 min,6.4,211.0,"['Drama', ' Musical', ' Romance']",3,6.1,
Aan: Men at Work,(2004),149 min,5.7,2907.0,"['Action', ' Crime', ' Drama']",3,6.028571428571429,
Aanch,(2003),160 min,5.6,102.0,['Drama'],1,4.4,
Aanchal,(1980),138 min,6.4,58.0,"['Action', ' Drama', ' Family']",3,5.776470588235294,
Aanchal,(1960),,4.9,8.0,"['Drama', ' Family']",2,5.6000000000000005,
Aanchal Ke Phool,(1968),,5.7,6.0,['Drama'],1,6.466666666666666,
Aandhi,(1975),133 min,8.1,1406.0,"['Drama', ' Romance']",2,7.521052631578947,
Aandhi Aur Toofan,(1964),,6.0,8.0,"['Action', ' Adventure', ' Romance']",3,6.075,
Aandhi-Toofan,(1985),144 min,6.1,49.0,['Drama'],1,5.21875,
Aandhiyan,(1952),136 min,7.4,30.0,['Drama'],1,7.0,
Aandhiyan,(1990),145 min,4.8,38.0,['Drama'],1,5.193023255813954,
Aangan,(1959),,6.6,31.0,"['Music', ' Romance']",2,6.6,
Aangan Ki Kali,(1979),,5.6,5.0,"['Drama', ' Family']",2,6.0,
Aani Maani,(2019),94 min,6.6,15.0,['Drama'],1,6.6,6.599999999999999
Aankh Micholi,(1972),,6.0,6.0,['Family'],1,5.857142857142857,
Aankhein: The Third Eye,(2004),,7.4,15.0,['Action'],1,6.75,
Aankhen,(1993),170 min,6.7,1898.0,"['Action', ' Comedy', ' Crime']",3,5.193023255813954,
Aankhen,(1950),,7.2,6.0,"['Drama', ' Family']",2,6.55,
Aankhen,(2002),165 min,7.4,12574.0,"['Crime', ' Drama', ' Thriller']",3,5.5,
Aankhon Aankhon Mein,(1972),154 min,6.4,28.0,"['Drama', ' Romance']",2,6.42,
Aansoo Aur Muskan,(1970),150 min,6.5,24.0,"['Comedy', ' Drama', ' Family']",3,6.033333333333334,
Aao Pyaar Karen,(1964),,6.2,15.0,"['Drama', ' Romance']",2,6.416666666666667,
Aao Pyaar Karen,(1994),141 min,4.2,160.0,['Romance'],1,4.971428571428571,
Aao Wish Karein,(2009),140 min,5.1,584.0,"['Comedy', ' Family', ' Fantasy']",3,5.1,
Aap Aye Bahaar Ayee,(1971),119 min,6.6,80.0,"['Comedy', ' Drama', ' Romance']",3,6.1571428571428575,
Aap Beati,(1976),145 min,5.7,32.0,"['Drama', ' Family']",2,6.1571428571428575,
Aap Ke Deewane,(1980),,5.8,204.0,['Romance'],1,5.8500000000000005,
Aap Ke Saath,(1986),,5.7,49.0,['Drama'],1,5.800000000000001,
Aap Ki Kasam,(1974),153 min,7.0,420.0,"['Romance', ' Drama']",2,5.800000000000001,
Aap Ki Khatir,(1977),115 min,6.3,27.0,"['Action', ' Comedy', ' Drama']",3,6.9,
Aap Ki Khatir,(2006),122 min,3.6,863.0,"['Comedy', ' Romance']",2,4.757142857142857,
Aap Ki Parchhaiyan,(1964),128 min,6.3,39.0,"['Drama', ' Family', ' Romance']",3,6.1571428571428575,
Aap Mujhe Achche Lagne Lage,(2002),180 min,3.1,2366.0,"['Action', ' Drama', ' Romance']",3,4.833333333333333,
Aap To Aise Na The,(1980),145 min,5.6,38.0,"['Romance', ' Drama', ' Family']",3,5.411111111111111,
Aapa Akka,(2009),,6.0,10.0,['Drama'],1,6.0,
Aapas Ki Baat,(1981),148 min,5.2,17.0,"['Action', ' Romance']",2,5.537931034482758,
Aapko Pehle Bhi Kahin Dekha Hai,(2003),145 min,4.5,273.0,"['Action', ' Comedy', ' Drama']",3,5.67,
Aaplee Maanse,(1992),,6.4,12.0,['Drama'],1,6.35,
Aar Paar,(1985),125 min,6.1,44.0,['Action'],1,6.643589743589744,
Aar Ya Paar,(1997),180 min,6.1,230.0,['Thriller'],1,6.666666666666667,
Aarakshan,(2011),164 min,6.2,5170.0,"['Drama', ' Thriller']",2,6.375,
Aaram,(1951),,6.8,40.0,['Romance'],1,6.566666666666666,
Aaravalli,(1957),210 min,5.9,7.0,['Horror'],1,5.9,
Aarop,(1974),129 min,6.7,13.0,['Drama'],1,5.833333333333333,
Aar-Paar,(1954),146 min,6.6,250.0,"['Musical', ' Romance', ' Thriller']",3,7.4875,
Aarti,(1962),156 min,6.6,67.0,"['Family', ' Musical', ' Romance']",3,6.81,
Aarya,(2007),157 min,4.6,191.0,"['Action', ' Drama', ' Romance']",3,5.35,
Aarzoo,(1999),175 min,5.4,1445.0,"['Drama', ' Romance']",2,4.570588235294117,
Aas,(1953),,5.1,13.0,['Romance'],1,6.55,
Aas Ka Panchhi,(1961),,6.8,32.0,"['Family', ' Drama']",2,6.1571428571428575,
Aas Paas,(1981),,5.8,107.0,['Romance'],1,5.800000000000001,
Aasha,(1957),171 min,6.5,23.0,"['Comedy', ' Romance']",2,5.7,
Aasha,(1980),123 min,5.3,199.0,"['Drama', ' Musical', ' Romance']",3,5.800000000000001,
Aashayein,(2010),120 min,7.1,1259.0,['Drama'],1,6.991666666666667,
Aashiana,(1986),,2.6,11.0,['Drama'],1,5.414893617021277,
Aashik Aawara,(1993),,5.2,299.0,['Drama'],1,5.3625,
Aashiq,(1962),150 min,6.7,64.0,['Romance'],1,7.102380952380953,
Aashiq,(2001),160 min,3.8,403.0,"['Action', ' Drama', ' Romance']",3,5.278571428571429,
Aashiq Banaya Aapne: Love Takes Over,(2005),115 min,4.3,1569.0,"['Drama', ' Romance', ' Thriller']",3,4.7,
Aashiq Hoon Baharon Ka,(1977),136 min,5.5,85.0,['Romance'],1,5.800000000000001,
Aashique Mastane,(1995),,6.2,13.0,['Comedy'],1,4.506666666666666,
Aashiqui,(1990),152 min,6.3,1661.0,"['Musical', ' Drama', ' Romance']",3,5.414893617021277,
Aashiqui 2,(2013),132 min,7.0,27357.0,"['Drama', ' Music', ' Musical']",3,6.133333333333333,
Aashiqui.In,(2011),109 min,3.7,61.0,"['Drama', ' Romance']",2,3.7,
Aashirwad,(1968),146 min,7.3,203.0,['Drama'],1,7.102380952380953,
Aashmani Jawaharat,(2014),132 min,6.1,10.0,['Drama'],1,6.1,6.099999999999999
Aasma,(2018),105 min,5.2,8.0,"['Action', ' Crime', ' Drama']",3,5.2,
Aasma: The Sky Is the Limit,(2009),240 min,3.8,46.0,['Drama'],1,4.7,
