Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,title,cabin_deck,family_size,name_length,is_alone,fare_per_person,class_fare,fare_log,age_child,age_teen,age_young,age_adult,age_senior,is_child_female
35,0,1,1,42.0,1,0,52.0,2,2,U,2,30,0,26.0,52.0,3.970291913552122,False,False,False,True,False,0
36,1,3,1,30.0,0,0,7.2292,0,2,U,1,16,1,7.2292,21.6876,2.1076888046179385,False,False,True,False,False,0
37,0,3,1,21.0,0,0,8.05,2,2,U,1,24,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
38,0,3,0,18.0,2,0,18.0,2,1,U,3,34,0,6.0,54.0,2.9444389791664403,False,True,False,False,False,0
39,1,3,0,14.0,1,0,11.2417,0,1,U,2,27,0,5.62085,33.7251,2.5048481563289,False,True,False,False,False,0
40,0,3,0,40.0,1,0,9.475,2,3,U,2,46,0,4.7375,28.424999999999997,2.348991465808201,False,False,False,True,False,0
41,0,2,0,27.0,1,0,21.0,2,3,U,2,56,0,10.5,42.0,3.091042453358316,False,False,True,False,False,0
42,0,3,1,30.0,0,0,7.8958,0,2,U,1,19,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
43,1,2,0,3.0,1,2,41.5792,0,1,U,4,40,0,10.3948,83.1584,3.7513658711253766,True,False,False,False,False,1
44,1,3,0,19.0,0,0,7.8792,1,1,U,1,29,1,7.8792,23.6376,2.1837114628556327,False,False,True,False,False,0
45,0,3,1,30.0,0,0,8.05,2,2,U,1,24,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
46,0,3,1,30.0,1,0,15.5,1,2,U,2,17,0,7.75,46.5,2.803360380906535,False,False,True,False,False,0
47,1,3,0,21.0,0,0,7.75,1,1,U,1,25,1,7.75,23.25,2.169053700369523,False,False,True,False,False,0
48,0,3,1,30.0,2,0,21.6792,0,2,U,3,19,0,7.226400000000001,65.0376,3.1214482048688246,False,False,True,False,False,0
49,0,3,0,18.0,1,0,17.8,2,3,U,2,45,0,8.9,53.400000000000006,2.9338568698359038,False,True,False,False,False,0
50,0,3,1,7.0,4,1,39.6875,2,0,U,6,26,0,6.614583333333333,119.0625,3.705920919968788,True,False,False,False,False,0
51,0,3,1,21.0,0,0,7.8,2,2,U,1,28,1,7.8,23.4,2.174751721484161,False,False,True,False,False,0
52,1,1,0,49.0,1,0,76.7292,0,3,D,2,40,0,38.3646,76.7292,4.353230991152628,False,False,False,True,False,0
53,1,2,0,29.0,1,0,26.0,2,3,U,2,50,0,13.0,52.0,3.295836866004329,False,False,True,False,False,0
54,0,1,1,65.0,0,1,61.9792,0,2,B,2,30,0,30.9896,61.9792,4.142804513146981,False,False,False,False,True,0
55,1,1,1,30.0,0,0,35.5,2,2,C,1,17,1,35.5,35.5,3.597312260588446,False,False,True,False,False,0
56,1,2,0,21.0,0,0,10.5,2,1,U,1,17,1,10.5,21.0,2.4423470353692043,False,False,True,False,False,0
57,0,3,1,28.5,0,0,7.2292,0,2,U,1,19,1,7.2292,21.6876,2.1076888046179385,False,False,True,False,False,0
58,1,2,0,5.0,1,2,27.75,2,1,U,4,28,0,6.9375,55.5,3.3586377672433594,True,False,False,False,False,1
59,0,3,1,11.0,5,2,46.9,2,0,U,8,34,0,5.8625,140.7,3.8691155044168695,True,False,False,False,False,0
60,0,3,1,22.0,0,0,7.2292,0,2,U,1,21,1,7.2292,21.6876,2.1076888046179385,False,False,True,False,False,0
61,1,1,0,38.0,0,0,80.0,2,1,B,1,19,1,80.0,80.0,4.394449154672439,False,False,False,True,False,0
62,0,1,1,45.0,1,0,83.475,2,2,C,2,27,0,41.7375,83.475,4.436455632600354,False,False,False,True,False,0
63,0,3,1,4.0,3,2,27.9,2,0,U,6,21,0,4.6499999999999995,83.69999999999999,3.3638415951183864,True,False,False,False,False,0
64,0,1,1,30.0,0,0,27.7208,0,2,U,1,21,1,27.7208,27.7208,3.357621598945279,False,False,True,False,False,0
65,1,3,1,3.5,1,1,15.2458,0,0,U,3,24,0,5.081933333333333,45.737399999999994,2.7878344138303452,True,False,False,False,False,0
66,1,2,0,29.0,0,0,10.5,2,3,F,1,28,1,10.5,21.0,2.4423470353692043,False,False,True,False,False,0
67,0,3,1,19.0,0,0,8.1583,2,2,U,1,24,1,8.1583,24.4749,2.2146605719425225,False,False,True,False,False,0
68,1,3,0,17.0,4,2,7.925,2,1,U,7,31,0,1.1321428571428571,23.775,2.188856327665703,False,True,False,False,False,0
69,0,3,1,26.0,2,0,8.6625,2,2,U,3,17,0,2.8874999999999997,25.987499999999997,2.2682524139135403,False,False,True,False,False,0
70,0,2,1,32.0,0,0,10.5,2,2,U,1,26,1,10.5,21.0,2.4423470353692043,False,False,True,False,False,0
71,0,3,0,16.0,5,2,46.9,2,1,U,8,26,0,5.8625,140.7,3.8691155044168695,False,True,False,False,False,0
72,0,2,1,21.0,0,0,73.5,2,2,U,1,20,1,73.5,147.0,4.310799125385514,False,False,True,False,False,0
73,0,3,1,26.0,1,0,14.4542,0,2,U,2,27,0,7.2271,43.3626,2.737880811060884,False,False,True,False,False,0
74,1,3,1,32.0,0,0,56.4958,2,2,U,1,13,1,56.4958,169.4874,4.05171190165724,False,False,True,False,False,0
75,0,3,1,25.0,0,0,7.65,2,2,F,1,23,1,7.65,22.950000000000003,2.157559320943788,False,False,True,False,False,0
76,0,3,1,30.0,0,0,7.8958,2,2,U,1,17,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
77,0,3,1,30.0,0,0,8.05,2,2,U,1,24,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
78,1,2,1,0.83,0,2,29.0,2,0,U,3,29,0,9.666666666666666,58.0,3.4011973816621555,True,False,False,False,False,0
79,1,3,0,30.0,0,0,12.475,2,1,U,1,24,1,12.475,37.425,2.600836116795061,False,False,True,False,False,0
80,0,3,1,22.0,0,0,9.0,2,2,U,1,20,1,9.0,27.0,2.302585092994046,False,False,True,False,False,0
81,1,3,1,29.0,0,0,9.5,2,2,U,1,27,1,9.5,28.5,2.3513752571634776,False,False,True,False,False,0
82,1,3,0,21.0,0,0,7.7875,1,1,U,1,30,1,7.7875,23.362499999999997,2.1733302571367834,False,False,True,False,False,0
83,0,1,1,28.0,0,0,47.1,2,2,U,1,23,1,47.1,47.1,3.8732821771117156,False,False,True,False,False,0
84,1,2,0,17.0,0,0,10.5,2,1,U,1,19,1,10.5,21.0,2.4423470353692043,False,True,False,False,False,0
85,1,3,0,33.0,3,0,15.85,2,3,U,4,55,0,3.9625,47.55,2.8243506567983707,False,False,True,False,False,0
86,0,3,1,16.0,1,3,34.375,2,2,U,5,22,0,6.875,103.125,3.5660053559634015,False,True,False,False,False,0
87,0,3,1,30.0,0,0,8.05,2,2,U,1,29,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
88,1,1,0,23.0,3,2,263.0,2,1,C,6,26,0,43.833333333333336,263.0,5.575949103146316,False,False,True,False,False,0
89,0,3,1,24.0,0,0,8.05,2,2,U,1,22,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
90,0,3,1,29.0,0,0,8.05,2,2,U,1,20,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
91,0,3,1,20.0,0,0,7.8542,2,2,U,1,26,1,7.8542,23.5626,2.180891922715322,False,False,True,False,False,0
92,0,1,1,46.0,1,0,61.175,2,2,E,2,27,0,30.5875,61.175,4.1299529896894684,False,False,False,True,False,0
93,0,3,1,26.0,1,2,20.575,2,2,U,4,23,0,5.14375,61.724999999999994,3.0715352369694915,False,False,True,False,False,0
94,0,3,1,59.0,0,0,7.25,2,2,U,1,17,1,7.25,21.75,2.1102132003465894,False,False,False,True,False,0
95,0,3,1,30.0,0,0,8.05,2,2,U,1,27,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
96,0,1,1,71.0,0,0,34.6542,0,2,A,1,25,1,34.6542,34.6542,3.57386695198272,False,False,False,False,True,0
97,1,1,1,23.0,0,1,63.3583,0,2,D,2,31,0,31.67915,63.3583,4.164465907853638,False,False,True,False,False,0
98,1,2,0,34.0,0,1,23.0,2,3,U,2,36,0,11.5,46.0,3.1780538303479458,False,False,True,False,False,0
99,0,2,1,34.0,1,0,26.0,2,2,U,2,17,0,13.0,52.0,3.295836866004329,False,False,True,False,False,0
100,0,3,0,28.0,0,0,7.8958,2,1,U,1,23,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
101,0,3,1,30.0,0,0,7.8958,2,2,U,1,32,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
102,0,1,1,21.0,0,1,77.2875,2,2,D,2,25,0,38.64375,77.2875,4.360387947851531,False,False,True,False,False,0
103,0,3,1,33.0,0,0,8.6542,2,2,U,1,26,1,8.6542,25.9626,2.267393053825037,False,False,True,False,False,0
104,0,3,1,37.0,2,0,7.925,2,2,U,3,30,0,2.6416666666666666,23.775,2.188856327665703,False,False,False,True,False,0
105,0,3,1,28.0,0,0,7.8958,2,2,U,1,21,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
106,1,3,0,21.0,0,0,7.65,2,1,U,1,32,1,7.65,22.950000000000003,2.157559320943788,False,False,True,False,False,0
107,1,3,1,30.0,0,0,7.775,2,2,U,1,22,1,7.775,23.325000000000003,2.1719067693519296,False,False,True,False,False,0
108,0,3,1,38.0,0,0,7.8958,2,2,U,1,15,1,7.8958,23.6874,2.1855792552411137,False,False,False,True,False,0
109,1,3,0,21.0,1,0,24.15,1,1,U,2,19,0,12.075,72.44999999999999,3.224857896545748,False,False,True,False,False,0
110,0,1,1,47.0,0,0,52.0,2,2,C,1,30,1,52.0,52.0,3.970291913552122,False,False,False,True,False,0
111,0,3,0,14.5,1,0,14.4542,0,1,U,2,20,0,7.2271,43.3626,2.737880811060884,False,True,False,False,False,0
112,0,3,1,22.0,0,0,8.05,2,2,U,1,22,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
113,0,3,0,20.0,1,0,9.825,2,1,U,2,23,0,4.9125,29.474999999999998,2.3818582738885534,False,False,True,False,False,0
114,0,3,0,17.0,0,0,14.4583,0,1,U,1,21,1,14.4583,43.3749,2.738146075922933,False,True,False,False,False,0
115,0,3,1,21.0,0,0,7.925,2,2,U,1,21,1,7.925,23.775,2.188856327665703,False,False,True,False,False,0
116,0,3,1,70.5,0,0,7.75,1,2,U,1,20,1,7.75,23.25,2.169053700369523,False,False,False,False,True,0
117,0,2,1,29.0,1,0,21.0,2,2,U,2,31,0,10.5,42.0,3.091042453358316,False,False,True,False,False,0
118,0,1,1,24.0,0,1,247.5208,0,2,B,2,24,0,123.7604,247.5208,5.515526544247129,False,False,True,False,False,0
119,0,3,0,2.0,4,2,31.275,2,1,U,7,33,0,4.4678571428571425,93.82499999999999,3.4742929367327062,True,False,False,False,False,1
120,0,2,1,21.0,2,0,73.5,2,2,U,3,27,0,24.5,147.0,4.310799125385514,False,False,True,False,False,0
121,0,3,1,30.0,0,0,8.05,2,2,U,1,26,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
122,0,2,1,32.5,1,0,30.0708,0,2,U,2,20,0,15.0354,60.1416,3.436268471383741,False,False,True,False,False,0
123,1,2,0,32.5,0,0,13.0,2,1,E,1,19,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
124,0,1,1,54.0,0,1,77.2875,2,2,D,2,27,0,38.64375,77.2875,4.360387947851531,False,False,False,True,False,0
125,1,3,1,12.0,1,0,11.2417,0,0,U,2,28,0,5.62085,33.7251,2.5048481563289,True,False,False,False,False,0
126,0,3,1,30.0,0,0,7.75,1,2,U,1,19,1,7.75,23.25,2.169053700369523,False,False,True,False,False,0
127,1,3,1,24.0,0,0,7.1417,2,2,U,1,25,1,7.1417,21.4251,2.0969990034181696,False,False,True,False,False,0
128,1,3,0,21.0,1,1,22.3583,0,1,F,3,17,0,7.452766666666666,67.0749,3.1509523813392697,False,False,True,False,False,0
129,0,3,1,45.0,0,0,6.975,2,2,U,1,18,1,6.975,20.924999999999997,2.076311648670908,False,False,False,True,False,0
130,0,3,1,33.0,0,0,7.8958,0,2,U,1,20,1,7.8958,23.6874,2.1855792552411137,False,False,True,False,False,0
131,0,3,1,20.0,0,0,7.05,2,2,U,1,30,1,7.05,21.15,2.0856720914304723,False,False,True,False,False,0
132,0,3,0,47.0,1,0,14.5,2,3,U,2,46,0,7.25,43.5,2.740840023925201,False,False,False,True,False,0
133,1,2,0,29.0,1,0,26.0,2,3,U,2,45,0,13.0,52.0,3.295836866004329,False,False,True,False,False,0
134,0,2,1,25.0,0,0,13.0,2,2,U,1,30,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
135,0,2,1,23.0,0,0,15.0458,0,2,U,1,18,1,15.0458,30.0916,2.775447133088262,False,False,True,False,False,0
136,1,1,0,19.0,0,2,26.2833,2,1,D,3,28,0,8.7611,26.2833,3.3062747934011893,False,False,True,False,False,0
137,0,1,1,37.0,1,0,53.1,2,2,C,2,27,0,26.55,53.1,3.9908341858524357,False,False,False,True,False,0
138,0,3,1,16.0,0,0,9.2167,2,2,U,1,19,1,9.2167,27.6501,2.3240236363515288,False,True,False,False,False,0
139,0,1,1,24.0,0,0,79.2,0,2,B,1,18,1,79.2,79.2,4.384523514872469,False,False,True,False,False,0
140,0,3,0,35.0,0,2,15.2458,0,3,U,3,29,0,5.081933333333333,45.737399999999994,2.7878344138303452,False,False,True,False,False,0
141,1,3,0,22.0,0,0,7.75,2,1,U,1,24,1,7.75,23.25,2.169053700369523,False,False,True,False,False,0
142,1,3,0,24.0,1,0,15.85,2,3,U,2,52,0,7.925,47.55,2.8243506567983707,False,False,True,False,False,0
143,0,3,1,19.0,0,0,6.75,1,2,U,1,19,1,6.75,20.25,2.0476928433652555,False,False,True,False,False,0
144,0,2,1,18.0,0,0,11.5,2,2,U,1,26,1,11.5,23.0,2.5257286443082556,False,True,False,False,False,0
145,0,2,1,19.0,1,1,36.75,2,2,U,3,28,0,12.25,73.5,3.6309854756950335,False,False,True,False,False,0
146,1,3,1,27.0,0,0,7.7958,2,2,U,1,44,1,7.7958,23.3874,2.174274334826008,False,False,True,False,False,0
147,0,3,0,9.0,2,2,34.375,2,1,U,5,32,0,6.875,103.125,3.5660053559634015,True,False,False,False,False,1
148,0,2,1,36.5,0,2,26.0,2,2,F,3,40,0,8.666666666666666,52.0,3.295836866004329,False,False,False,True,False,0
149,0,2,1,42.0,0,0,13.0,2,4,U,1,33,1,13.0,26.0,2.6390573296152584,False,False,False,True,False,0
150,0,2,1,51.0,0,0,12.525,2,4,U,1,26,1,12.525,25.05,2.6045398247325453,False,False,False,True,False,0
151,1,1,0,22.0,1,0,66.6,2,3,C,2,33,0,33.3,66.6,4.213607983048918,False,False,True,False,False,0
152,0,3,1,55.5,0,0,8.05,2,2,U,1,16,1,8.05,24.150000000000002,2.2027647577118348,False,False,False,True,False,0
153,0,3,1,40.5,0,2,14.5,2,2,U,3,31,0,4.833333333333333,43.5,2.740840023925201,False,False,False,True,False,0
154,0,3,1,30.0,0,0,7.3125,2,2,U,1,21,1,7.3125,21.9375,2.1177604059819726,False,False,True,False,False,0
155,0,1,1,51.0,0,1,61.3792,0,2,U,2,27,0,30.6896,61.3792,4.133231886474144,False,False,False,True,False,0
156,1,3,0,16.0,0,0,7.7333,1,1,U,1,32,1,7.7333,23.1999,2.167143305297764,False,True,False,False,False,0
157,0,3,1,30.0,0,0,8.05,2,2,U,1,15,1,8.05,24.150000000000002,2.2027647577118348,False,False,True,False,False,0
158,0,3,1,30.0,0,0,8.6625,2,2,U,1,19,1,8.6625,25.987499999999997,2.2682524139135403,False,False,True,False,False,0
159,0,3,1,3.5,8,2,69.55,2,0,U,11,26,0,6.322727272727272,208.64999999999998,4.256321678298823,True,False,False,False,False,0
160,0,3,1,44.0,0,1,16.1,2,2,U,2,24,0,8.05,48.300000000000004,2.8390784635086144,False,False,False,True,False,0
161,1,2,0,40.0,0,0,15.75,2,3,U,1,50,1,15.75,31.5,2.8183982582710754,False,False,False,True,False,0
162,0,3,1,26.0,0,0,7.775,2,2,U,1,26,1,7.775,23.325000000000003,2.1719067693519296,False,False,True,False,False,0
163,0,3,1,17.0,0,0,8.6625,2,2,U,1,15,1,8.6625,25.987499999999997,2.2682524139135403,False,True,False,False,False,0
164,0,3,1,1.0,4,1,39.6875,2,0,U,6,28,0,6.614583333333333,119.0625,3.705920919968788,True,False,False,False,False,0
165,1,3,1,9.0,0,2,20.525,2,0,U,3,47,0,6.841666666666666,61.574999999999996,3.0692150503137943,True,False,False,False,False,0
166,1,1,0,35.0,0,1,55.0,2,3,E,2,38,0,27.5,55.0,4.02535169073515,False,False,True,False,False,0
167,0,3,0,45.0,1,4,27.9,2,3,U,6,47,0,4.6499999999999995,83.69999999999999,3.3638415951183864,False,False,False,True,False,0
168,0,1,1,30.0,0,0,25.925,2,2,U,1,19,1,25.925,25.925,3.2930552230424524,False,False,True,False,False,0
169,0,3,1,28.0,0,0,56.4958,2,2,U,1,13,1,56.4958,169.4874,4.05171190165724,False,False,True,False,False,0
170,0,1,1,61.0,0,0,33.5,2,2,B,1,25,1,33.5,33.5,3.5409593240373143,False,False,False,False,True,0
171,0,3,1,4.0,4,1,29.125,1,0,U,6,20,0,4.854166666666667,87.375,3.405355391810819,True,False,False,False,False,0
172,1,3,0,1.0,1,1,11.1333,2,1,U,3,28,0,3.7111,33.3999,2.495953738718064,True,False,False,False,False,1
173,0,3,1,21.0,0,0,7.925,2,2,U,1,25,1,7.925,23.775,2.188856327665703,False,False,True,False,False,0
174,0,1,1,56.0,0,0,30.6958,0,2,A,1,23,1,30.6958,30.6958,3.4561841799918147,False,False,False,True,False,0
175,0,3,1,18.0,1,1,7.8542,2,2,U,3,22,0,2.6180666666666665,23.5626,2.180891922715322,False,True,False,False,False,0
176,0,3,1,3.5,3,1,25.4667,2,0,U,5,29,0,5.0933399999999995,76.4001,3.275887339030031,True,False,False,False,False,0
177,0,1,0,50.0,0,0,28.7125,0,1,C,1,26,1,28.7125,28.7125,3.391567832686312,False,False,False,True,False,0
178,0,2,1,30.0,0,0,13.0,2,2,U,1,18,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
179,0,3,1,36.0,0,0,0.0,2,2,U,1,19,1,0.0,0.0,0.0,False,False,False,True,False,0
180,0,3,0,21.0,8,2,69.55,2,1,U,11,28,0,6.322727272727272,208.64999999999998,4.256321678298823,False,False,True,False,False,0
181,0,2,1,30.0,0,0,15.05,0,2,U,1,16,1,15.05,30.1,2.775708849576025,False,False,True,False,False,0
182,0,3,1,9.0,4,2,31.3875,2,0,U,7,37,0,4.483928571428572,94.1625,3.4777725458882283,True,False,False,False,False,0
183,1,2,1,1.0,2,1,39.0,2,0,F,4,25,0,9.75,78.0,3.6888794541139363,True,False,False,False,False,0
184,1,3,0,4.0,0,2,22.025,2,1,U,3,35,0,7.341666666666666,66.07499999999999,3.1365805821413706,True,False,False,False,False,1
185,0,1,1,30.0,0,0,50.0,2,2,A,1,21,1,50.0,50.0,3.9318256327243257,False,False,True,False,False,0
186,1,3,0,35.0,1,0,15.5,1,3,U,2,47,0,7.75,46.5,2.803360380906535,False,False,True,False,False,0
187,1,1,1,45.0,0,0,26.55,2,2,U,1,45,1,26.55,26.55,3.3160025355989236,False,False,False,True,False,0
188,0,3,1,40.0,1,1,15.5,1,2,U,3,16,0,5.166666666666667,46.5,2.803360380906535,False,False,False,True,False,0
189,0,3,1,36.0,0,0,7.8958,2,2,U,1,19,1,7.8958,23.6874,2.1855792552411137,False,False,False,True,False,0
190,1,2,0,32.0,0,0,13.0,2,3,U,1,19,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
191,0,2,1,19.0,0,0,13.0,2,2,U,1,21,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
192,1,3,0,19.0,1,0,7.8542,2,1,U,2,47,0,3.9271,23.5626,2.180891922715322,False,False,True,False,False,0
193,1,2,1,3.0,1,1,26.0,2,0,F,3,26,0,8.666666666666666,52.0,3.295836866004329,True,False,False,False,False,0
194,1,1,0,44.0,0,0,27.7208,0,3,B,1,41,1,27.7208,27.7208,3.357621598945279,False,False,False,True,False,0
195,1,1,0,58.0,0,0,146.5208,0,1,B,1,20,1,146.5208,146.5208,4.993969182787072,False,False,False,True,False,0
196,0,3,1,30.0,0,0,7.75,1,2,U,1,19,1,7.75,23.25,2.169053700369523,False,False,True,False,False,0
197,0,3,1,42.0,0,1,8.4042,2,2,U,2,32,0,4.2021,25.2126,2.2411563979973974,False,False,False,True,False,0
198,1,3,0,21.0,0,0,7.75,1,1,U,1,32,1,7.75,23.25,2.169053700369523,False,False,True,False,False,0
199,0,2,0,24.0,0,0,13.0,2,1,U,1,38,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
200,0,3,1,28.0,0,0,9.5,2,2,U,1,30,1,9.5,28.5,2.3513752571634776,False,False,True,False,False,0
201,0,3,1,30.0,8,2,69.55,2,2,U,11,19,0,6.322727272727272,208.64999999999998,4.256321678298823,False,False,True,False,False,0
202,0,3,1,34.0,0,0,6.4958,2,2,U,1,26,1,6.4958,19.4874,2.0143428636837015,False,False,True,False,False,0
203,0,3,1,45.5,0,0,7.225,0,2,U,1,20,1,7.225,21.674999999999997,2.1071782966514356,False,False,False,True,False,0
204,1,3,1,18.0,0,0,8.05,2,2,U,1,24,1,8.05,24.150000000000002,2.2027647577118348,False,True,False,False,False,0
205,0,3,0,2.0,0,1,10.4625,2,1,G,2,26,0,5.23125,31.387500000000003,2.4390808375825834,True,False,False,False,False,1
206,0,3,1,32.0,1,0,15.85,2,2,U,2,26,0,7.925,47.55,2.8243506567983707,False,False,True,False,False,0
207,1,3,1,26.0,0,0,18.7875,0,2,U,1,27,1,18.7875,56.362500000000004,2.9850504252071306,False,False,True,False,False,0
208,1,3,0,16.0,0,0,7.75,1,1,U,1,25,1,7.75,23.25,2.169053700369523,False,True,False,False,False,0
209,1,1,1,40.0,0,0,31.0,0,2,A,1,16,1,31.0,31.0,3.4657359027997265,False,False,False,True,False,0
210,0,3,1,24.0,0,0,7.05,2,2,U,1,14,1,7.05,21.15,2.0856720914304723,False,False,True,False,False,0
211,1,2,0,35.0,0,0,21.0,2,1,U,1,26,1,21.0,42.0,3.091042453358316,False,False,True,False,False,0
212,0,3,1,22.0,0,0,7.25,2,2,U,1,22,1,7.25,21.75,2.1102132003465894,False,False,True,False,False,0
213,0,2,1,30.0,0,0,13.0,2,2,U,1,27,1,13.0,26.0,2.6390573296152584,False,False,True,False,False,0
214,0,3,1,30.0,1,0,7.75,1,2,U,2,19,0,3.875,23.25,2.169053700369523,False,False,True,False,False,0
215,1,1,0,31.0,1,0,113.275,0,1,D,2,23,0,56.6375,113.275,4.738607824217808,False,False,True,False,False,0
216,1,3,0,27.0,0,0,7.925,2,1,U,1,22,1,7.925,23.775,2.188856327665703,False,False,True,False,False,0
217,0,2,1,42.0,1,0,27.0,2,2,U,2,28,0,13.5,54.0,3.332204510175204,False,False,False,True,False,0
