,survived,pclass,sex,age,sibsp,parch,fare,embarked,title,cabin_deck,family_size,name_length
60,0,3,1,22.0,0,0,7.2292,0,2,U,1,21
61,1,1,0,38.0,0,0,80.0,2,1,B,1,19
62,0,1,1,45.0,1,0,83.475,2,2,C,2,27
63,0,3,1,4.0,3,2,27.9,2,0,U,6,21
64,0,1,1,30.0,0,0,27.7208,0,2,U,1,21
65,1,3,1,3.5,1,1,15.2458,0,0,U,3,24
66,1,2,0,29.0,0,0,10.5,2,3,F,1,28
67,0,3,1,19.0,0,0,8.1583,2,2,U,1,24
68,1,3,0,17.0,4,2,7.925,2,1,U,7,31
69,0,3,1,26.0,2,0,8.6625,2,2,U,3,17
70,0,2,1,32.0,0,0,10.5,2,2,U,1,26
71,0,3,0,16.0,5,2,46.9,2,1,U,8,26
72,0,2,1,21.0,0,0,73.5,2,2,U,1,20
73,0,3,1,26.0,1,0,14.4542,0,2,U,2,27
74,1,3,1,32.0,0,0,56.4958,2,2,U,1,13
75,0,3,1,25.0,0,0,7.65,2,2,F,1,23
76,0,3,1,30.0,0,0,7.8958,2,2,U,1,17
77,0,3,1,30.0,0,0,8.05,2,2,U,1,24
78,1,2,1,0.83,0,2,29.0,2,0,U,3,29
79,1,3,0,30.0,0,0,12.475,2,1,U,1,24
80,0,3,1,22.0,0,0,9.0,2,2,U,1,20
81,1,3,1,29.0,0,0,9.5,2,2,U,1,27
82,1,3,0,21.0,0,0,7.7875,1,1,U,1,30
83,0,1,1,28.0,0,0,47.1,2,2,U,1,23
84,1,2,0,17.0,0,0,10.5,2,1,U,1,19
85,1,3,0,33.0,3,0,15.85,2,3,U,4,55
86,0,3,1,16.0,1,3,34.375,2,2,U,5,22
87,0,3,1,30.0,0,0,8.05,2,2,U,1,29
88,1,1,0,23.0,3,2,263.0,2,1,C,6,26
89,0,3,1,24.0,0,0,8.05,2,2,U,1,22
90,0,3,1,29.0,0,0,8.05,2,2,U,1,20
91,0,3,1,20.0,0,0,7.8542,2,2,U,1,26
92,0,1,1,46.0,1,0,61.175,2,2,E,2,27
93,0,3,1,26.0,1,2,20.575,2,2,U,4,23
94,0,3,1,59.0,0,0,7.25,2,2,U,1,17
95,0,3,1,30.0,0,0,8.05,2,2,U,1,27
96,0,1,1,71.0,0,0,34.6542,0,2,A,1,25
97,1,1,1,23.0,0,1,63.3583,0,2,D,2,31
98,1,2,0,34.0,0,1,23.0,2,3,U,2,36
99,0,2,1,34.0,1,0,26.0,2,2,U,2,17
100,0,3,0,28.0,0,0,7.8958,2,1,U,1,23
101,0,3,1,30.0,0,0,7.8958,2,2,U,1,32
102,0,1,1,21.0,0,1,77.2875,2,2,D,2,25
103,0,3,1,33.0,0,0,8.6542,2,2,U,1,26
104,0,3,1,37.0,2,0,7.925,2,2,U,3,30
105,0,3,1,28.0,0,0,7.8958,2,2,U,1,21
106,1,3,0,21.0,0,0,7.65,2,1,U,1,32
107,1,3,1,30.0,0,0,7.775,2,2,U,1,22
108,0,3,1,38.0,0,0,7.8958,2,2,U,1,15
109,1,3,0,21.0,1,0,24.15,1,1,U,2,19
110,0,1,1,47.0,0,0,52.0,2,2,C,1,30
111,0,3,0,14.5,1,0,14.4542,0,1,U,2,20
112,0,3,1,22.0,0,0,8.05,2,2,U,1,22
113,0,3,0,20.0,1,0,9.825,2,1,U,2,23
114,0,3,0,17.0,0,0,14.4583,0,1,U,1,21
115,0,3,1,21.0,0,0,7.925,2,2,U,1,21
116,0,3,1,70.5,0,0,7.75,1,2,U,1,20
117,0,2,1,29.0,1,0,21.0,2,2,U,2,31
118,0,1,1,24.0,0,1,247.5208,0,2,B,2,24
119,0,3,0,2.0,4,2,31.275,2,1,U,7,33
120,0,2,1,21.0,2,0,73.5,2,2,U,3,27
121,0,3,1,30.0,0,0,8.05,2,2,U,1,26
122,0,2,1,32.5,1,0,30.0708,0,2,U,2,20
123,1,2,0,32.5,0,0,13.0,2,1,E,1,19
124,0,1,1,54.0,0,1,77.2875,2,2,D,2,27
125,1,3,1,12.0,1,0,11.2417,0,0,U,2,28
126,0,3,1,30.0,0,0,7.75,1,2,U,1,19
127,1,3,1,24.0,0,0,7.1417,2,2,U,1,25
128,1,3,0,21.0,1,1,22.3583,0,1,F,3,17
129,0,3,1,45.0,0,0,6.975,2,2,U,1,18
130,0,3,1,33.0,0,0,7.8958,0,2,U,1,20
131,0,3,1,20.0,0,0,7.05,2,2,U,1,30
132,0,3,0,47.0,1,0,14.5,2,3,U,2,46
133,1,2,0,29.0,1,0,26.0,2,3,U,2,45
134,0,2,1,25.0,0,0,13.0,2,2,U,1,30
135,0,2,1,23.0,0,0,15.0458,0,2,U,1,18
136,1,1,0,19.0,0,2,26.2833,2,1,D,3,28
137,0,1,1,37.0,1,0,53.1,2,2,C,2,27
138,0,3,1,16.0,0,0,9.2167,2,2,U,1,19
139,0,1,1,24.0,0,0,79.2,0,2,B,1,18
140,0,3,0,35.0,0,2,15.2458,0,3,U,3,29
141,1,3,0,22.0,0,0,7.75,2,1,U,1,24
142,1,3,0,24.0,1,0,15.85,2,3,U,2,52
143,0,3,1,19.0,0,0,6.75,1,2,U,1,19
144,0,2,1,18.0,0,0,11.5,2,2,U,1,26
145,0,2,1,19.0,1,1,36.75,2,2,U,3,28
146,1,3,1,27.0,0,0,7.7958,2,2,U,1,44
147,0,3,0,9.0,2,2,34.375,2,1,U,5,32
148,0,2,1,36.5,0,2,26.0,2,2,F,3,40
149,0,2,1,42.0,0,0,13.0,2,4,U,1,33
150,0,2,1,51.0,0,0,12.525,2,4,U,1,26
151,1,1,0,22.0,1,0,66.6,2,3,C,2,33
152,0,3,1,55.5,0,0,8.05,2,2,U,1,16
153,0,3,1,40.5,0,2,14.5,2,2,U,3,31
154,0,3,1,30.0,0,0,7.3125,2,2,U,1,21
155,0,1,1,51.0,0,1,61.3792,0,2,U,2,27
156,1,3,0,16.0,0,0,7.7333,1,1,U,1,32
157,0,3,1,30.0,0,0,8.05,2,2,U,1,15
158,0,3,1,30.0,0,0,8.6625,2,2,U,1,19
159,0,3,1,3.5,8,2,69.55,2,0,U,11,26
160,0,3,1,44.0,0,1,16.1,2,2,U,2,24
161,1,2,0,40.0,0,0,15.75,2,3,U,1,50
162,0,3,1,26.0,0,0,7.775,2,2,U,1,26
163,0,3,1,17.0,0,0,8.6625,2,2,U,1,15
164,0,3,1,1.0,4,1,39.6875,2,0,U,6,28
165,1,3,1,9.0,0,2,20.525,2,0,U,3,47
166,1,1,0,35.0,0,1,55.0,2,3,E,2,38
167,0,3,0,45.0,1,4,27.9,2,3,U,6,47
168,0,1,1,30.0,0,0,25.925,2,2,U,1,19
169,0,3,1,28.0,0,0,56.4958,2,2,U,1,13
170,0,1,1,61.0,0,0,33.5,2,2,B,1,25
171,0,3,1,4.0,4,1,29.125,1,0,U,6,20
172,1,3,0,1.0,1,1,11.1333,2,1,U,3,28
173,0,3,1,21.0,0,0,7.925,2,2,U,1,25
174,0,1,1,56.0,0,0,30.6958,0,2,A,1,23
175,0,3,1,18.0,1,1,7.8542,2,2,U,3,22
176,0,3,1,3.5,3,1,25.4667,2,0,U,5,29
177,0,1,0,50.0,0,0,28.7125,0,1,C,1,26
178,0,2,1,30.0,0,0,13.0,2,2,U,1,18
179,0,3,1,36.0,0,0,0.0,2,2,U,1,19
180,0,3,0,21.0,8,2,69.55,2,1,U,11,28
181,0,2,1,30.0,0,0,15.05,0,2,U,1,16
182,0,3,1,9.0,4,2,31.3875,2,0,U,7,37
183,1,2,1,1.0,2,1,39.0,2,0,F,4,25
184,1,3,0,4.0,0,2,22.025,2,1,U,3,35
185,0,1,1,30.0,0,0,50.0,2,2,A,1,21
186,1,3,0,35.0,1,0,15.5,1,3,U,2,47
187,1,1,1,45.0,0,0,26.55,2,2,U,1,45
188,0,3,1,40.0,1,1,15.5,1,2,U,3,16
189,0,3,1,36.0,0,0,7.8958,2,2,U,1,19
190,1,2,0,32.0,0,0,13.0,2,3,U,1,19
191,0,2,1,19.0,0,0,13.0,2,2,U,1,21
192,1,3,0,19.0,1,0,7.8542,2,1,U,2,47
193,1,2,1,3.0,1,1,26.0,2,0,F,3,26
194,1,1,0,44.0,0,0,27.7208,0,3,B,1,41
195,1,1,0,58.0,0,0,146.5208,0,1,B,1,20
196,0,3,1,30.0,0,0,7.75,1,2,U,1,19
197,0,3,1,42.0,0,1,8.4042,2,2,U,2,32
198,1,3,0,21.0,0,0,7.75,1,1,U,1,32
199,0,2,0,24.0,0,0,13.0,2,1,U,1,38
200,0,3,1,28.0,0,0,9.5,2,2,U,1,30
201,0,3,1,30.0,8,2,69.55,2,2,U,11,19
202,0,3,1,34.0,0,0,6.4958,2,2,U,1,26
203,0,3,1,45.5,0,0,7.225,0,2,U,1,20
204,1,3,1,18.0,0,0,8.05,2,2,U,1,24
205,0,3,0,2.0,0,1,10.4625,2,1,G,2,26
206,0,3,1,32.0,1,0,15.85,2,2,U,2,26
207,1,3,1,26.0,0,0,18.7875,0,2,U,1,27
208,1,3,0,16.0,0,0,7.75,1,1,U,1,25
209,1,1,1,40.0,0,0,31.0,0,2,A,1,16
210,0,3,1,24.0,0,0,7.05,2,2,U,1,14
211,1,2,0,35.0,0,0,21.0,2,1,U,1,26
212,0,3,1,22.0,0,0,7.25,2,2,U,1,22
213,0,2,1,30.0,0,0,13.0,2,2,U,1,27
214,0,3,1,30.0,1,0,7.75,1,2,U,2,19
215,1,1,0,31.0,1,0,113.275,0,1,D,2,23
216,1,3,0,27.0,0,0,7.925,2,1,U,1,22
217,0,2,1,42.0,1,0,27.0,2,2,U,2,28
218,1,1,0,32.0,0,0,76.2917,0,1,D,1,21
219,0,2,1,30.0,0,0,10.5,2,2,U,1,18
220,1,3,1,16.0,0,0,8.05,2,2,U,1,30
221,0,2,1,27.0,0,0,13.0,2,2,U,1,20
222,0,3,1,51.0,0,0,8.05,2,2,U,1,23
223,0,3,1,30.0,0,0,7.8958,2,2,U,1,20
224,1,1,1,38.0,1,0,90.0,2,2,C,2,28
225,0,3,1,22.0,0,0,9.35,2,2,U,1,28
226,1,2,1,19.0,0,0,10.5,2,2,U,1,25
227,0,3,1,20.5,0,0,7.25,2,2,U,1,31
228,0,2,1,18.0,0,0,13.0,2,2,U,1,25
229,0,3,0,21.0,3,1,25.4667,2,1,U,5,23
230,1,1,0,35.0,1,0,83.475,2,3,C,2,44
231,0,3,1,29.0,0,0,7.775,2,2,U,1,24
232,0,2,1,59.0,0,0,13.5,2,2,U,1,25
233,1,3,0,5.0,4,2,31.3875,2,1,U,7,30
234,0,2,1,24.0,0,0,10.5,2,2,U,1,33
235,0,3,0,21.0,0,0,7.55,2,1,U,1,28
236,0,2,1,44.0,1,0,26.0,2,2,U,2,17
237,1,2,0,8.0,0,2,26.25,2,1,U,3,32
238,0,2,1,19.0,0,0,10.5,2,2,U,1,31
239,0,2,1,33.0,0,0,12.275,2,2,U,1,22
240,0,3,0,21.0,1,0,14.4542,0,1,U,2,21
241,1,3,0,21.0,1,0,15.5,1,1,U,2,30
242,0,2,1,29.0,0,0,10.5,2,2,U,1,31
243,0,3,1,22.0,0,0,7.125,2,2,U,1,29
244,0,3,1,30.0,0,0,7.225,0,2,U,1,20
245,0,1,1,44.0,2,0,90.0,1,4,C,3,27
246,0,3,0,25.0,0,0,7.775,2,1,U,1,37
247,1,2,0,24.0,0,2,14.5,2,3,U,3,31
248,1,1,1,37.0,1,1,52.5542,2,2,D,3,29
249,0,2,1,54.0,1,0,26.0,2,4,U,2,29
250,0,3,1,30.0,0,0,7.25,2,2,U,1,22
251,0,3,0,29.0,1,1,10.4625,2,3,G,3,42
252,0,1,1,62.0,0,0,26.55,2,2,C,1,25
253,0,3,1,30.0,1,0,16.1,2,2,U,2,24
254,0,3,0,41.0,0,2,20.2125,2,3,U,3,40
255,1,3,0,29.0,0,2,15.2458,0,3,U,3,39
256,1,1,0,35.0,0,0,79.2,0,3,U,1,30
257,1,1,0,30.0,0,0,86.5,2,1,B,1,20
258,1,1,0,35.0,0,0,512.3292,0,1,U,1,16
259,1,2,0,50.0,0,1,26.0,2,3,U,2,27
260,0,3,1,30.0,0,0,7.75,1,2,U,1,17
261,1,3,1,3.0,4,2,31.3875,2,0,U,7,33
262,0,1,1,52.0,1,1,79.65,2,2,E,3,17
263,0,1,1,40.0,0,0,0.0,2,2,B,1,21
264,0,3,0,21.0,0,0,7.75,1,1,U,1,18
265,0,2,1,36.0,0,0,10.5,2,2,U,1,17
266,0,3,1,16.0,4,1,39.6875,2,2,U,6,25
267,1,3,1,25.0,1,0,7.775,2,2,U,2,24
268,1,1,0,58.0,0,1,153.4625,2,3,C,2,45
269,1,1,0,35.0,0,0,135.6333,2,1,C,1,22
270,0,1,1,30.0,0,0,31.0,2,2,U,1,21
271,1,3,1,25.0,0,0,0.0,2,2,U,1,28
272,1,2,0,41.0,0,1,19.5,2,3,U,2,41
273,0,1,1,37.0,0,1,29.7,0,2,C,2,21
274,1,3,0,21.0,0,0,7.75,1,1,U,1,26
275,1,1,0,63.0,1,0,77.9583,2,1,D,2,33
276,0,3,0,45.0,0,0,7.75,2,1,U,1,33
277,0,2,1,30.0,0,0,0.0,2,2,U,1,27
278,0,3,1,7.0,4,1,29.125,1,0,U,6,18
279,1,3,0,35.0,1,1,20.25,2,3,U,3,32
280,0,3,1,65.0,0,0,7.75,1,2,U,1,16
281,0,3,1,28.0,0,0,7.8542,2,2,U,1,32
282,0,3,1,16.0,0,0,9.5,2,2,U,1,25
283,1,3,1,19.0,0,0,8.05,2,2,U,1,26
284,0,1,1,30.0,0,0,26.0,2,2,A,1,26
285,0,3,1,33.0,0,0,8.6625,0,2,U,1,19
286,1,3,1,30.0,0,0,9.5,2,2,U,1,23
287,0,3,1,22.0,0,0,7.8958,2,2,U,1,20
288,1,2,1,42.0,0,0,13.0,2,2,U,1,20
289,1,3,0,22.0,0,0,7.75,1,1,U,1,20
290,1,1,0,26.0,0,0,78.85,2,1,U,1,28
291,1,1,0,19.0,1,0,91.0792,0,3,B,2,39
292,0,2,1,36.0,0,0,12.875,0,2,D,1,22
293,0,3,0,24.0,0,0,8.85,2,1,U,1,19
294,0,3,1,24.0,0,0,7.8958,2,2,U,1,16
295,0,1,1,30.0,0,0,27.7208,0,2,U,1,17
296,0,3,1,23.5,0,0,7.2292,0,2,U,1,18
297,0,1,0,2.0,1,2,151.55,2,1,C,4,28
298,1,1,1,30.0,0,0,30.5,2,2,C,1,21
299,1,1,0,50.0,0,1,247.5208,0,3,B,2,47
300,1,3,0,21.0,0,0,7.75,1,1,U,1,40
301,1,3,1,30.0,2,0,23.25,1,2,U,3,18
302,0,3,1,19.0,0,0,0.0,2,2,U,1,31
303,1,2,0,21.0,0,0,12.35,1,1,E,1,19
304,0,3,1,30.0,0,0,8.05,2,2,U,1,33
305,1,1,1,0.92,1,2,151.55,2,0,C,4,30
306,1,1,0,21.0,0,0,110.8833,0,1,U,1,23
307,1,1,0,17.0,1,0,108.9,0,3,C,2,82
308,0,2,1,30.0,1,0,24.0,0,2,U,2,19
309,1,1,0,30.0,0,0,56.9292,0,1,E,1,30
310,1,1,0,24.0,0,0,83.1583,0,1,C,1,30
311,1,1,0,18.0,2,2,262.375,0,1,B,5,26
312,0,2,0,26.0,1,1,26.0,2,3,U,3,37
313,0,3,1,28.0,0,0,7.8958,2,2,U,1,22
314,0,2,1,43.0,1,1,26.25,2,2,U,3,18
315,1,3,0,26.0,0,0,7.8542,2,1,U,1,31
316,1,2,0,24.0,1,0,26.0,2,3,U,2,35
317,0,2,1,54.0,0,0,14.0,2,4,U,1,20
318,1,1,0,31.0,0,2,164.8667,2,1,C,3,24
319,1,1,0,40.0,1,1,134.5,0,3,E,3,56
320,0,3,1,22.0,0,0,7.25,2,2,U,1,18
321,0,3,1,27.0,0,0,7.8958,2,2,U,1,16
322,1,2,0,30.0,0,0,12.35,1,1,U,1,25
323,1,2,0,22.0,1,1,29.0,2,3,U,3,51
324,0,3,1,30.0,8,2,69.55,2,2,U,11,24
325,1,1,0,36.0,0,0,135.6333,0,1,C,1,24
326,0,3,1,61.0,0,0,6.2375,2,2,U,1,25
327,1,2,0,36.0,0,0,13.0,2,3,D,1,23
328,1,3,0,31.0,1,1,20.525,2,3,U,3,46
329,1,1,0,16.0,0,1,57.9792,0,1,B,2,28
330,1,3,0,21.0,2,0,23.25,1,1,U,3,18
331,0,1,1,45.5,0,0,28.5,2,2,C,1,19
332,0,1,1,38.0,0,1,153.4625,2,2,C,2,25
333,0,3,1,16.0,2,0,18.0,2,2,U,3,31
334,1,1,0,35.0,1,0,133.65,2,3,U,2,50
335,0,3,1,30.0,0,0,7.8958,2,2,U,1,18
336,0,1,1,29.0,1,0,66.6,2,2,C,2,25
337,1,1,0,41.0,0,0,134.5,0,1,E,1,31
338,1,3,1,45.0,0,0,8.05,2,2,U,1,21
339,0,1,1,45.0,0,0,35.5,2,2,T,1,28
340,1,2,1,2.0,1,1,26.0,2,0,F,3,30
341,1,1,0,24.0,3,2,263.0,2,1,C,6,30
342,0,2,1,28.0,0,0,13.0,2,2,U,1,26
343,0,2,1,25.0,0,0,13.0,2,2,U,1,42
344,0,2,1,36.0,0,0,13.0,2,2,U,1,23
345,1,2,0,24.0,0,0,13.0,2,1,F,1,29
346,1,2,0,40.0,0,0,13.0,2,1,U,1,25
347,1,3,0,35.0,1,0,16.1,2,3,U,2,41
348,1,3,1,3.0,1,1,15.9,2,0,U,3,38
349,0,3,1,42.0,0,0,8.6625,2,2,U,1,16
350,0,3,1,23.0,0,0,9.225,2,2,U,1,22
351,0,1,1,30.0,0,0,35.0,2,2,C,1,38
352,0,3,1,15.0,1,1,7.2292,0,2,U,3,18
353,0,3,1,25.0,1,0,17.8,2,2,U,2,25
354,0,3,1,30.0,0,0,7.225,0,2,U,1,17
355,0,3,1,28.0,0,0,9.5,2,2,U,1,27
356,1,1,0,22.0,0,1,55.0,2,1,E,2,27
357,0,2,0,38.0,0,0,13.0,2,1,U,1,25
358,1,3,0,21.0,0,0,7.8792,1,1,U,1,20
359,1,3,0,21.0,0,0,7.8792,1,1,U,1,33
360,0,3,1,40.0,1,4,27.9,2,2,U,6,18
361,0,2,1,29.0,1,0,27.7208,0,2,U,2,25
362,0,3,0,45.0,0,1,14.4542,0,3,U,2,31
363,0,3,1,35.0,0,0,7.05,2,2,U,1,15
364,0,3,1,30.0,1,0,15.5,1,2,U,2,19
365,0,3,1,30.0,0,0,7.25,2,2,U,1,30
366,1,1,0,60.0,1,0,75.25,0,3,D,2,48
367,1,3,0,35.0,0,0,7.2292,0,3,U,1,30
368,1,3,0,21.0,0,0,7.75,1,1,U,1,19
369,1,1,0,24.0,0,0,69.3,0,3,B,1,29
370,1,1,1,25.0,1,0,55.4417,0,2,E,2,27
371,0,3,1,18.0,1,0,6.4958,2,2,U,2,25
372,0,3,1,19.0,0,0,8.05,2,2,U,1,26
373,0,1,1,22.0,0,0,135.6333,0,2,U,1,19
374,0,3,0,3.0,3,1,21.075,2,1,U,5,26
375,1,1,0,35.0,1,0,82.1708,0,3,U,2,37
376,1,3,0,22.0,0,0,7.25,2,1,U,1,31
377,0,1,1,27.0,0,2,211.5,0,2,C,3,25
378,0,3,1,20.0,0,0,4.0125,0,2,U,1,19
379,0,3,1,19.0,0,0,7.775,2,2,U,1,27
380,1,1,0,42.0,0,0,227.525,0,1,U,1,21
381,1,3,0,1.0,0,2,15.7417,0,1,U,3,27
382,0,3,1,32.0,0,0,7.925,2,2,U,1,18
383,1,1,0,35.0,1,0,52.0,2,3,U,2,51
384,0,3,1,30.0,0,0,7.8958,2,2,U,1,22
385,0,2,1,18.0,0,0,73.5,2,2,U,1,25
386,0,3,1,1.0,5,2,46.9,2,0,U,8,31
387,1,2,0,36.0,0,0,13.0,2,1,U,1,16
388,0,3,1,30.0,0,0,7.7292,1,2,U,1,20
389,1,2,0,17.0,0,0,12.0,0,1,U,1,21
390,1,1,1,36.0,1,2,120.0,2,2,B,4,26
391,1,3,1,21.0,0,0,7.7958,2,2,U,1,22
392,0,3,1,28.0,2,0,7.925,2,2,U,3,28
393,1,1,0,23.0,1,0,113.275,0,1,D,2,22
394,1,3,0,24.0,0,2,16.7,2,3,G,3,51
395,0,3,1,22.0,0,0,7.7958,2,2,U,1,19
396,0,3,0,31.0,0,0,7.8542,2,1,U,1,19
397,0,2,1,46.0,0,0,26.0,2,2,U,1,23
398,0,2,1,23.0,0,0,10.5,2,4,U,1,16
399,1,2,0,28.0,0,0,12.65,2,3,U,1,32
400,1,3,1,39.0,0,0,7.925,2,2,U,1,18
401,0,3,1,26.0,0,0,8.05,2,2,U,1,15
402,0,3,0,21.0,1,0,9.825,2,1,U,2,24
403,0,3,1,28.0,1,0,15.85,2,2,U,2,30
404,0,3,0,20.0,0,0,8.6625,2,1,U,1,23
405,0,2,1,34.0,1,0,21.0,2,2,U,2,18
406,0,3,1,51.0,0,0,7.75,2,2,U,1,32
407,1,2,1,3.0,1,1,18.75,2,0,U,3,30
408,0,3,1,21.0,0,0,7.775,2,2,U,1,33
409,0,3,0,21.0,3,1,25.4667,2,1,U,5,18
410,0,3,1,30.0,0,0,7.8958,2,2,U,1,18
411,0,3,1,30.0,0,0,6.8583,1,2,U,1,15
412,1,1,0,33.0,1,0,90.0,1,1,C,2,22
413,0,2,1,30.0,0,0,0.0,2,2,U,1,30
414,1,3,1,44.0,0,0,7.925,2,2,U,1,25
415,0,3,0,35.0,0,0,8.05,2,3,U,1,39
416,1,2,0,34.0,1,1,32.5,2,3,U,3,47
417,1,2,0,18.0,0,2,13.0,2,1,U,3,29
418,0,2,1,30.0,0,0,13.0,2,2,U,1,26
419,0,3,0,10.0,0,2,24.15,2,1,U,3,25
420,0,3,1,30.0,0,0,7.8958,0,2,U,1,22
421,0,3,1,21.0,0,0,7.7333,1,2,U,1,19
422,0,3,1,29.0,0,0,7.875,2,2,U,1,18
423,0,3,0,28.0,1,1,14.4,2,3,U,3,54
424,0,3,1,18.0,1,1,20.2125,2,2,U,3,27
425,0,3,1,30.0,0,0,7.25,2,2,U,1,22
426,1,2,0,28.0,1,0,26.0,2,3,U,2,43
427,1,2,0,19.0,0,0,26.0,2,1,U,1,67
428,0,3,1,30.0,0,0,7.75,1,2,U,1,16
429,1,3,1,32.0,0,0,8.05,2,2,E,1,34
430,1,1,1,28.0,0,0,26.55,2,2,C,1,41
431,1,3,0,35.0,1,0,16.1,2,3,U,2,49
432,1,2,0,42.0,1,0,26.0,2,3,U,2,51
433,0,3,1,17.0,0,0,7.125,2,2,U,1,26
434,0,1,1,50.0,1,0,55.9,2,2,E,2,25
435,1,1,0,14.0,1,2,120.0,2,1,B,4,25
436,0,3,0,21.0,2,2,34.375,2,1,U,5,36
437,1,2,0,24.0,2,3,18.75,2,3,U,6,37
438,0,1,1,64.0,1,4,263.0,2,2,C,6,17
439,0,2,1,31.0,0,0,10.5,2,2,U,1,38
440,1,2,0,45.0,1,1,26.25,2,3,U,3,43
441,0,3,1,20.0,0,0,9.5,2,2,U,1,15
442,0,3,1,25.0,1,0,7.775,2,2,U,2,25
443,1,2,0,28.0,0,0,13.0,2,1,U,1,25
444,1,3,1,30.0,0,0,8.1125,2,2,U,1,33
445,1,1,1,4.0,0,2,81.8583,2,0,A,3,25
446,1,2,0,13.0,0,1,19.5,2,1,U,2,33
447,1,1,1,34.0,0,0,26.55,2,2,U,1,27
448,1,3,0,5.0,2,1,19.2583,0,1,U,4,30
449,1,1,1,52.0,0,0,30.5,2,4,C,1,30
450,0,2,1,36.0,1,2,27.75,2,2,U,4,21
451,0,3,1,30.0,1,0,19.9667,2,2,U,2,31
452,0,1,1,30.0,0,0,27.75,0,2,C,1,31
453,1,1,1,49.0,1,0,89.1042,0,2,C,2,24
454,0,3,1,30.0,0,0,8.05,2,2,U,1,19
455,1,3,1,29.0,0,0,7.8958,0,2,U,1,18
456,0,1,1,65.0,0,0,26.55,2,2,E,1,25
457,1,1,0,35.0,1,0,51.8625,2,3,D,2,33
